Model Outputs
100
,,Sub4:LHeadAngles,,,Sub4:LNeckAngles,,,Sub4:LThoraxAngles,,,Sub4:RHeadAngles,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
201,0,5.57126,1.71647,6.68051,-19.8627,-3.39612,-2.91932,14.5357,0.502796,2.77261,5.57126,-1.71647,-6.68051
202,0,4.78041,1.66097,6.58142,-19.116,-3.23115,-2.90768,14.5661,0.507375,2.75989,4.78041,-1.66097,-6.58142
203,0,4.01588,1.60314,6.48276,-18.3949,-3.06876,-2.89123,14.596,0.511023,2.74834,4.01588,-1.60314,-6.48276
204,0,3.27779,1.54271,6.38597,-17.6997,-2.90921,-2.87131,14.6255,0.513741,2.73819,3.27779,-1.54271,-6.38597
205,0,2.56548,1.47921,6.29199,-17.0298,-2.752,-2.84895,14.6546,0.515751,2.72958,2.56548,-1.47921,-6.29199
206,0,1.87779,1.41201,6.20094,-16.3839,-2.59608,-2.8245,14.6833,0.517353,2.72267,1.87779,-1.41201,-6.20094
207,0,1.21322,1.34046,6.11243,-15.7603,-2.44014,-2.79787,14.7112,0.518834,2.71753,1.21322,-1.34046,-6.11243
208,0,0.569914,1.26398,6.02604,-15.1567,-2.28298,-2.76901,14.7377,0.520415,2.71417,0.569914,-1.26398,-6.02604
209,0,-0.0543681,1.18202,5.94147,-14.5704,-2.1235,-2.73803,14.7623,0.522209,2.71251,-0.0543681,-1.18202,-5.94147
210,0,-0.66216,1.09413,5.85838,-13.9986,-1.96084,-2.70503,14.7847,0.524198,2.71236,-0.66216,-1.09413,-5.85838
211,0,-1.25606,1.00033,5.77632,-13.4383,-1.79467,-2.66995,14.8045,0.526263,2.71353,-1.25606,-1.00033,-5.77632
212,0,-1.8386,0.901379,5.69501,-12.8869,-1.62554,-2.63256,14.8217,0.528223,2.71585,-1.8386,-0.901379,-5.69501
213,0,-2.41227,0.798774,5.61434,-12.3418,-1.45483,-2.59262,14.8363,0.529861,2.71925,-2.41227,-0.798774,-5.61434
214,0,-2.97957,0.69433,5.53448,-11.8005,-1.28433,-2.55001,14.8485,0.530934,2.72366,-2.97957,-0.69433,-5.53448
215,0,-3.54298,0.589813,5.45577,-11.2605,-1.11586,-2.50484,14.8585,0.5312,2.72903,-3.54298,-0.589813,-5.45577
216,0,-4.10482,0.486823,5.37866,-10.7195,-0.95109,-2.45739,14.8664,0.530408,2.73532,-4.10482,-0.486823,-5.37866
217,0,-4.66694,0.386819,5.30378,-10.1754,-0.791672,-2.40811,14.8723,0.528276,2.7425,-4.66694,-0.386819,-5.30378
218,0,-5.23041,0.291116,5.23179,-9.62706,-0.6392,-2.35762,14.876,0.524491,2.75053,-5.23041,-0.291116,-5.23179
219,0,-5.79534,0.20087,5.16335,-9.07401,-0.495157,-2.30654,14.8775,0.518769,2.75939,-5.79534,-0.20087,-5.16335
220,0,-6.36097,0.11714,5.099,-8.51695,-0.360835,-2.25552,14.8766,0.51097,2.76896,-6.36097,-0.11714,-5.099
221,0,-6.92583,0.0409477,5.03917,-7.95754,-0.237257,-2.20531,14.8737,0.501239,2.77895,-6.92583,-0.0409477,-5.03917
222,0,-7.48792,-0.0268119,4.98416,-7.39829,-0.12504,-2.15693,14.8693,0.490043,2.78874,-7.48792,0.0268119,-4.98416
223,0,-8.04498,-0.0855252,4.93414,-6.8423,-0.0243573,-2.11158,14.8641,0.478019,2.79746,-8.04498,0.0855252,-4.93414
224,0,-8.59468,-0.134925,4.88911,-6.29282,0.0649614,-2.0703,14.8591,0.465795,2.80429,-8.59468,0.134925,-4.88911
225,0,-9.13482,-0.175122,4.84897,-5.75298,0.143411,-2.03385,14.855,0.453913,2.80868,-9.13482,0.175122,-4.84897
226,0,-9.66362,-0.206602,4.81341,-5.22532,0.211823,-2.00248,14.8526,0.442817,2.81037,-9.66362,0.206602,-4.81341
227,0,-10.1798,-0.230091,4.78179,-4.71158,0.271223,-1.97589,14.8523,0.432811,2.8094,-10.1798,0.230091,-4.78179
228,0,-10.6825,-0.246365,4.75314,-4.21266,0.322568,-1.95307,14.8539,0.424003,2.80613,-10.6825,0.246365,-4.75314
229,0,-11.1712,-0.256146,4.72621,-3.7288,0.366531,-1.93236,14.857,0.416216,2.8013,-11.1712,0.256146,-4.72621
230,0,-11.6454,-0.260146,4.6998,-3.25985,0.403519,-1.91183,14.8612,0.409005,2.7959,-11.6454,0.260146,-4.6998
231,0,-12.1048,-0.259119,4.67295,-2.80571,0.43399,-1.88994,14.8657,0.401983,2.79074,-12.1048,0.259119,-4.67295
232,0,-12.5488,-0.253775,4.64498,-2.36681,0.458639,-1.86595,14.8706,0.395116,2.7861,-12.5488,0.253775,-4.64498
233,0,-12.9767,-0.244612,4.61536,-1.94419,0.478111,-1.83958,14.876,0.388603,2.78189,-12.9767,0.244612,-4.61536
234,0,-13.3872,-0.231875,4.58375,-1.53923,0.49271,-1.81069,14.8821,0.382594,2.77805,-13.3872,0.231875,-4.58375
235,0,-13.7787,-0.215641,4.55018,-1.15368,0.502418,-1.77945,14.8889,0.377122,2.77457,-13.7787,0.215641,-4.55018
236,0,-14.1491,-0.195954,4.51523,-0.789685,0.507083,-1.74651,14.8963,0.372151,2.77142,-14.1491,0.195954,-4.51523
237,0,-14.496,-0.173019,4.47992,-0.449569,0.506675,-1.7131,14.9045,0.367613,2.76848,-14.496,0.173019,-4.47992
238,0,-14.8171,-0.147316,4.44551,-0.135631,0.501453,-1.68076,14.9134,0.363438,2.76554,-14.8171,0.147316,-4.44551
239,0,-15.1106,-0.119573,4.41312,0.150089,0.491979,-1.65087,14.923,0.359569,2.76235,-15.1106,0.119573,-4.41312
240,0,-15.3747,-0.0906789,4.38358,0.406025,0.479091,-1.62448,14.9332,0.356013,2.75873,-15.3747,0.0906789,-4.38358
241,0,-15.6087,-0.0615708,4.35737,0.631392,0.463836,-1.60217,14.9439,0.352872,2.75457,-15.6087,0.0615708,-4.35737
242,0,-15.8129,-0.0331016,4.33449,0.826445,0.447346,-1.58396,14.955,0.350338,2.74982,-15.8129,0.0331016,-4.33449
243,0,-15.9886,-0.00590121,4.31449,0.992458,0.430657,-1.56944,14.9665,0.34866,2.74445,-15.9886,0.00590121,-4.31449
244,0,-16.1378,0.0197205,4.29689,1.13144,0.414532,-1.55812,14.9785,0.34809,2.7384,-16.1378,-0.0197205,-4.29689
245,0,-16.263,0.0437126,4.28133,1.2458,0.399428,-1.54962,14.9908,0.348808,2.73168,-16.263,-0.0437126,-4.28133
246,0,-16.3666,0.0660818,4.26747,1.3382,0.385617,-1.54342,15.0034,0.350861,2.72443,-16.3666,-0.0660818,-4.26747
247,0,-16.4513,0.0867276,4.25481,1.41133,0.373299,-1.5387,15.0161,0.354128,2.71694,-16.4513,-0.0867276,-4.25481
248,0,-16.5193,0.10546,4.24284,1.46781,0.362593,-1.53444,15.0287,0.358336,2.70969,-16.5193,-0.10546,-4.24284
249,0,-16.5727,0.122111,4.23125,1.50998,0.353473,-1.5297,15.0407,0.363105,2.70329,-16.5727,-0.122111,-4.23125
250,0,-16.6134,0.136544,4.22,1.53999,0.34584,-1.52381,15.0521,0.368037,2.69835,-16.6134,-0.136544,-4.22
251,0,-16.6431,0.148596,4.20921,1.55978,0.339673,-1.51642,15.0626,0.372792,2.69529,-16.6431,-0.148596,-4.20921
252,0,-16.6638,0.158073,4.19891,1.57124,0.335078,-1.50736,15.0722,0.377139,2.69434,-16.6638,-0.158073,-4.19891
253,0,-16.6772,0.164822,4.18906,1.57609,0.332222,-1.49658,15.081,0.380964,2.69546,-16.6772,-0.164822,-4.18906
254,0,-16.6849,0.168782,4.17958,1.57582,0.331299,-1.48421,15.0891,0.384288,2.69849,-16.6849,-0.168782,-4.17958
255,0,-16.6885,0.169971,4.17058,1.57156,0.332512,-1.47063,15.0969,0.387251,2.7031,-16.6885,-0.169971,-4.17058
256,0,-16.6892,0.168476,4.16227,1.5641,0.336024,-1.45645,15.1048,0.390031,2.70894,-16.6892,-0.168476,-4.16227
257,0,-16.6876,0.164477,4.15499,1.55385,0.341857,-1.44238,15.1131,0.392797,2.71563,-16.6876,-0.164477,-4.15499
258,0,-16.6844,0.158282,4.14906,1.54093,0.349865,-1.42912,15.1222,0.395689,2.72279,-16.6844,-0.158282,-4.14906
259,0,-16.6796,0.150286,4.14474,1.52539,0.359776,-1.41734,15.1322,0.398823,2.73003,-16.6796,-0.150286,-4.14474
260,0,-16.6735,0.140912,4.14224,1.50736,0.371247,-1.40758,15.1432,0.402266,2.73704,-16.6735,-0.140912,-4.14224
261,0,-16.6659,0.130564,4.14171,1.48696,0.383899,-1.40021,15.1551,0.406029,2.7436,-16.6659,-0.130564,-4.14171
262,0,-16.657,0.119591,4.14313,1.46415,0.397371,-1.39539,15.1679,0.410109,2.74956,-16.657,-0.119591,-4.14313
263,0,-16.6467,0.108261,4.14629,1.43859,0.411413,-1.39304,15.1821,0.414555,2.75479,-16.6467,-0.108261,-4.14629
264,0,-16.6349,0.0967557,4.15078,1.40969,0.425937,-1.39288,15.198,0.419514,2.75916,-16.6349,-0.0967557,-4.15078
265,0,-16.6213,0.0852825,4.15621,1.37683,0.440853,-1.39459,15.2162,0.425164,2.76261,-16.6213,-0.0852825,-4.15621
266,0,-16.6057,0.0742774,4.16232,1.3396,0.455786,-1.39785,15.2366,0.431603,2.76522,-16.6057,-0.0742774,-4.16232
267,0,-16.5877,0.0644787,4.16908,1.29813,0.469946,-1.40236,15.2588,0.438779,2.76727,-16.5877,-0.0644787,-4.16908
268,0,-16.5671,0.0567426,4.17667,1.25309,0.482318,-1.40792,15.2822,0.446484,2.76915,-16.5671,-0.0567426,-4.17667
269,0,-16.5441,0.0517671,4.18545,1.20554,0.491977,-1.41456,15.3058,0.454414,2.77121,-16.5441,-0.0517671,-4.18545
270,0,-16.519,0.0499631,4.19594,1.15661,0.498295,-1.42256,15.329,0.462266,2.77368,-16.519,-0.0499631,-4.19594
271,0,-16.492,0.0514723,4.20873,1.10715,0.500966,-1.43252,15.3511,0.469809,2.77656,-16.492,-0.0514723,-4.20873
272,0,-16.4634,0.056202,4.22446,1.05757,0.49998,-1.44518,15.3719,0.476905,2.77973,-16.4634,-0.056202,-4.22446
273,0,-16.4329,0.06384,4.24366,1.0079,0.495598,-1.46126,15.3911,0.483498,2.78299,-16.4329,-0.06384,-4.24366
274,0,-16.4004,0.0738867,4.26663,0.958003,0.488307,-1.48117,15.4087,0.489587,2.78622,-16.4004,-0.0738867,-4.26663
275,0,-16.3656,0.0857056,4.29321,0.907653,0.478785,-1.50477,15.4246,0.495237,2.78938,-16.3656,-0.0857056,-4.29321
276,0,-16.3282,0.0985691,4.32264,0.856602,0.467881,-1.53125,15.4388,0.500606,2.7925,-16.3282,-0.0985691,-4.32264
277,0,-16.2879,0.111706,4.35369,0.804471,0.45655,-1.55923,15.4511,0.505929,2.79573,-16.2879,-0.111706,-4.35369
278,0,-16.2443,0.124382,4.38487,0.750588,0.445701,-1.58704,15.4618,0.511451,2.79923,-16.2443,-0.124382,-4.38487
279,0,-16.1963,0.135986,4.41469,0.693909,0.436036,-1.61305,15.4709,0.517365,2.80312,-16.1963,-0.135986,-4.41469
280,0,-16.1431,0.146062,4.44186,0.633141,0.42801,-1.6359,15.4787,0.523782,2.80748,-16.1431,-0.146062,-4.44186
281,0,-16.0835,0.154256,4.4654,0.566958,0.421921,-1.65467,15.4854,0.530757,2.81223,-16.0835,-0.154256,-4.4654
282,0,-16.0167,0.160311,4.48475,0.494162,0.417948,-1.66901,15.4914,0.538303,2.81717,-16.0167,-0.160311,-4.48475
283,0,-15.942,0.164163,4.49985,0.413716,0.416035,-1.67915,15.4969,0.546377,2.822,-15.942,-0.164163,-4.49985
284,0,-15.8587,0.166062,4.51112,0.32472,0.415757,-1.6859,15.5023,0.554867,2.82634,-15.8587,-0.166062,-4.51112
285,0,-15.7661,0.166558,4.51944,0.226439,0.416337,-1.69047,15.5076,0.563598,2.82987,-15.7661,-0.166558,-4.51944
286,0,-15.6636,0.166378,4.52613,0.118371,0.416786,-1.69433,15.5127,0.572347,2.83241,-15.6636,-0.166378,-4.52613
287,0,-15.5504,0.166276,4.5327,0.000317079,0.416069,-1.69902,15.5172,0.580853,2.83396,-15.5504,-0.166276,-4.5327
288,0,-15.4265,0.166881,4.54066,-0.127617,0.413289,-1.70585,15.521,0.58885,2.83469,-15.4265,-0.166881,-4.54066
289,0,-15.2918,0.16861,4.55138,-0.265152,0.407822,-1.71593,15.5238,0.596131,2.83487,-15.2918,-0.16861,-4.55138
290,0,-15.1466,0.171616,4.56585,-0.412038,0.399404,-1.73001,15.5255,0.602587,2.8347,-15.1466,-0.171616,-4.56585
291,0,-14.9912,0.175768,4.58433,-0.568115,0.388142,-1.74822,15.5265,0.6082,2.83433,-14.9912,-0.175768,-4.58433
292,0,-14.8262,0.180701,4.60615,-0.733159,0.374458,-1.76986,15.5269,0.613022,2.83378,-14.8262,-0.180701,-4.60615
293,0,-14.6522,0.185953,4.62988,-0.906742,0.35894,-1.79353,15.527,0.61714,2.83299,-14.6522,-0.185953,-4.62988
294,0,-14.47,0.191082,4.65383,-1.08821,0.342194,-1.81761,15.5269,0.620652,2.83192,-14.47,-0.191082,-4.65383
295,0,-14.2805,0.195768,4.67652,-1.27665,0.32473,-1.84061,15.5265,0.623654,2.83057,-14.2805,-0.195768,-4.67652
296,0,-14.0848,0.199883,4.69684,-1.47086,0.306875,-1.86138,15.5256,0.626222,2.82898,-14.0848,-0.199883,-4.69684
297,0,-13.8842,0.203492,4.71417,-1.66938,0.288757,-1.87913,15.5242,0.628407,2.82733,-13.8842,-0.203492,-4.71417
298,0,-13.68,0.206806,4.72831,-1.87067,0.27033,-1.89346,15.5221,0.630227,2.8258,-13.68,-0.206806,-4.72831
299,0,-13.4737,0.210122,4.73948,-2.07305,0.251444,-1.9044,15.519,0.631688,2.8246,-13.4737,-0.210122,-4.73948
300,0,-13.2668,0.213755,4.74844,-2.27479,0.231915,-1.91251,15.5147,0.632787,2.82391,-13.2668,-0.213755,-4.74844
301,0,-13.0609,0.21792,4.75632,-2.47413,0.21164,-1.91873,15.509,0.633527,2.82394,-13.0609,-0.21792,-4.75632
302,0,-12.8575,0.222658,4.76445,-2.66943,0.190685,-1.92425,15.502,0.633924,2.82484,-12.8575,-0.222658,-4.76445
303,0,-12.6582,0.227897,4.774,-2.85925,0.169236,-1.93024,15.4935,0.634023,2.82661,-12.6582,-0.227897,-4.774
304,0,-12.4641,0.233569,4.78576,-3.04238,0.147495,-1.93767,15.4837,0.633895,2.82909,-12.4641,-0.233569,-4.78576
305,0,-12.2764,0.239594,4.80007,-3.21797,0.125655,-1.94717,15.4727,0.633605,2.83202,-12.2764,-0.239594,-4.80007
306,0,-12.0954,0.245821,4.81683,-3.38563,0.103943,-1.95898,15.4606,0.633197,2.83507,-12.0954,-0.245821,-4.81683
307,0,-11.9213,0.252022,4.83564,-3.54533,0.0826524,-1.97303,15.4472,0.632719,2.83791,-11.9213,-0.252022,-4.83564
308,0,-11.7538,0.257992,4.85587,-3.69738,0.0620789,-1.98901,15.4328,0.63225,2.84026,-11.7538,-0.257992,-4.85587
309,0,-11.5923,0.263624,4.87672,-3.84225,0.0424275,-2.00633,15.4173,0.631877,2.8419,-11.5923,-0.263624,-4.87672
310,0,-11.4365,0.268877,4.89708,-3.98057,0.02383,-2.02397,15.4007,0.631664,2.84279,-11.4365,-0.268877,-4.89708
311,0,-11.2854,0.273701,4.9157,-4.11326,0.00638114,-2.04055,15.3832,0.631635,2.84301,-11.2854,-0.273701,-4.9157
312,0,-11.1378,0.278056,4.93147,-4.24174,-0.00993188,-2.05474,15.3649,0.631764,2.84283,-11.1378,-0.278056,-4.93147
313,0,-10.9918,0.281984,4.94396,-4.36795,-0.0253394,-2.0657,15.346,0.631978,2.84261,-10.9918,-0.281984,-4.94396
314,0,-10.8453,0.285605,4.95329,-4.49431,-0.0402921,-2.07315,15.3265,0.632142,2.84274,-10.8453,-0.285605,-4.95329
315,0,-10.6953,0.28897,4.95991,-4.62379,-0.0553122,-2.0772,15.3068,0.632051,2.84352,-10.6953,-0.28897,-4.95991
316,0,-10.5384,0.291938,4.96452,-4.7601,-0.0708653,-2.07841,15.287,0.631458,2.84506,-10.5384,-0.291938,-4.96452
317,0,-10.37,0.294292,4.96823,-4.90792,-0.0874181,-2.07788,15.2674,0.630165,2.84731,-10.37,-0.294292,-4.96823
318,0,-10.1848,0.295922,4.97243,-5.0731,-0.105561,-2.07713,15.2483,0.628101,2.85007,-10.1848,-0.295922,-4.97243
319,0,-9.97636,0.29687,4.97865,-5.26254,-0.126002,-2.07787,15.2303,0.625353,2.85303,-9.97636,-0.29687,-4.97865
320,0,-9.7377,0.297254,4.98837,-5.48379,-0.149456,-2.08185,15.214,0.622168,2.85576,-9.7377,-0.297254,-4.98837
321,0,-9.46194,0.297198,5.00295,-5.74447,-0.176576,-2.09068,15.2002,0.618892,2.85785,-9.46194,-0.297198,-5.00295
322,0,-9.14268,0.296827,5.02368,-6.05154,-0.208005,-2.10577,15.1895,0.615868,2.85897,-9.14268,-0.296827,-5.02368
323,0,-8.77482,0.296219,5.05181,-6.41049,-0.24433,-2.12849,15.1823,0.613369,2.85884,-8.77482,-0.296219,-5.05181
324,0,-8.35504,0.295236,5.08849,-6.82464,-0.285871,-2.15998,15.1785,0.611577,2.85732,-8.35504,-0.295236,-5.08849
325,0,-7.88206,0.293409,5.13438,-7.29502,-0.332505,-2.20082,15.178,0.610564,2.85442,-7.88206,-0.293409,-5.13438
326,0,-7.35644,0.290026,5.18935,-7.82056,-0.383733,-2.25067,15.1801,0.610298,2.85034,-7.35644,-0.290026,-5.18935
327,0,-6.78027,0.284319,5.25243,-8.39851,-0.438801,-2.30836,15.1842,0.61071,2.84536,-6.78027,-0.284319,-5.25243
328,0,-6.1569,0.275547,5.32215,-9.02486,-0.496724,-2.37232,15.1894,0.611813,2.83965,-6.1569,-0.275547,-5.32215
329,0,-5.49057,0.26304,5.39714,-9.6948,-0.556359,-2.44131,15.1952,0.613784,2.83326,-5.49057,-0.26304,-5.39714
330,0,-4.786,0.246264,5.4765,-10.4031,-0.616593,-2.51469,15.201,0.616906,2.82607,-4.786,-0.246264,-5.4765
331,0,-4.04806,0.224739,5.5597,-11.1445,-0.676439,-2.59224,15.2061,0.621392,2.81799,-4.04806,-0.224739,-5.5597
332,0,-3.28157,0.19786,5.64611,-11.9135,-0.734951,-2.67355,15.21,0.627202,2.80911,-3.28157,-0.19786,-5.64611
333,0,-2.49112,0.164893,5.73458,-12.7048,-0.791257,-2.75745,15.2117,0.633937,2.79979,-2.49112,-0.164893,-5.73458
334,0,-1.6811,0.125367,5.82344,-13.5131,-0.844932,-2.84187,15.2105,0.640835,2.7908,-1.6811,-0.125367,-5.82344
335,0,-0.855568,0.0795143,5.91096,-14.3334,-0.89632,-2.92439,15.2054,0.647011,2.78305,-0.855568,-0.0795143,-5.91096
336,0,-0.0181692,0.0283857,5.996,-15.1616,-0.946424,-3.00318,15.196,0.651882,2.77716,-0.0181692,-0.0283857,-5.996
337,0,0.828206,-0.0264135,6.07835,-15.9947,-0.996638,-3.07772,15.1824,0.65533,2.77322,0.828206,0.0264135,-6.07835
338,0,1.68165,-0.0832066,6.15875,-16.8311,-1.04849,-3.14867,15.1652,0.657522,2.77089,1.68165,0.0832066,-6.15875
339,0,2.54131,-0.140672,6.23848,-17.6706,-1.10338,-3.21742,15.1448,0.658672,2.76973,2.54131,0.140672,-6.23848
340,0,3.40729,-0.19804,6.3188,-18.5137,-1.16232,-3.28532,15.1221,0.658947,2.76931,3.40729,0.19804,-6.3188
341,0,4.28048,-0.255118,6.40021,-19.362,-1.22562,-3.35307,15.0976,0.658489,2.76934,4.28048,0.255118,-6.40021
342,0,5.16253,-0.312141,6.48223,-20.2177,-1.29294,-3.42033,15.0719,0.657461,2.76964,5.16253,0.312141,-6.48223
343,0,6.05548,-0.36954,6.56363,-21.083,-1.36353,-3.48598,15.0451,0.656019,2.77019,6.05548,0.36954,-6.56363
344,0,6.9612,-0.427767,6.64322,-21.9604,-1.43669,-3.54879,15.0176,0.654262,2.77114,6.9612,0.427767,-6.64322
345,0,7.88075,-0.487189,6.72054,-22.8511,-1.5121,-3.60806,14.9897,0.652193,2.77277,7.88075,0.487189,-6.72054
346,0,8.8139,-0.548072,6.79596,-23.7552,-1.58978,-3.66382,14.9617,0.649706,2.77547,8.8139,0.548072,-6.79596
347,0,9.75893,-0.610713,6.87012,-24.6715,-1.66982,-3.71652,14.9341,0.646601,2.77954,9.75893,0.610713,-6.87012
348,0,10.7131,-0.675683,6.94372,-25.5978,-1.75199,-3.76692,14.9073,0.642659,2.78522,10.7131,0.675683,-6.94372
349,0,11.6729,-0.743932,7.01736,-26.5312,-1.83561,-3.81607,14.8819,0.637707,2.79261,11.6729,0.743932,-7.01736
350,0,12.635,-0.816636,7.0914,-27.4688,-1.91963,-3.86499,14.8582,0.63164,2.80175,12.635,0.816636,-7.0914
351,0,13.5959,-0.894933,7.16586,-28.4071,-2.00275,-3.9145,14.8362,0.624451,2.81262,13.5959,0.894933,-7.16586
352,0,14.552,-0.97962,7.24069,-29.3425,-2.08375,-3.9654,14.8156,0.616314,2.82502,14.552,0.97962,-7.24069
353,0,15.5,-1.07083,7.31602,-30.2711,-2.16174,-4.01876,14.7959,0.607721,2.83839,15.5,1.07083,-7.31602
354,0,16.437,-1.16787,7.39213,-31.1893,-2.23631,-4.07577,14.776,0.599508,2.85171,16.437,1.16787,-7.39213
355,0,17.3612,-1.26946,7.46925,-32.0944,-2.3076,-4.13733,14.7553,0.592547,2.86386,17.3612,1.26946,-7.46925
356,0,18.2716,-1.37413,7.54725,-32.9852,-2.37636,-4.20329,14.7336,0.587213,2.87428,18.2716,1.37413,-7.54725
357,0,19.1681,-1.48073,7.62561,-33.8622,-2.44373,-4.27248,14.7118,0.583204,2.88317,19.1681,1.48073,-7.62561
358,0,20.0512,-1.58864,7.70388,-34.7266,-2.51076,-4.3436,14.6905,0.579928,2.8911,20.0512,1.58864,-7.70388
359,0,20.9216,-1.69765,7.78191,-35.5793,-2.57801,-4.41611,14.6701,0.577062,2.89839,20.9216,1.69765,-7.78191
360,0,21.7795,-1.80764,7.85966,-36.4199,-2.64528,-4.49009,14.65,0.574729,2.90493,21.7795,1.80764,-7.85966
361,0,22.6243,-1.91848,7.93657,-37.247,-2.71175,-4.56526,14.6293,0.573244,2.91062,22.6243,1.91848,-7.93657
362,0,23.4544,-2.02982,8.0112,-38.0584,-2.77611,-4.64031,14.6073,0.572868,2.91564,23.4544,2.02982,-8.0112
363,0,24.268,-2.14102,8.08148,-38.8515,-2.83687,-4.713,14.5833,0.573742,2.92043,24.268,2.14102,-8.08148
364,0,25.0632,-2.2514,8.14522,-39.6241,-2.89265,-4.78086,14.5566,0.575877,2.92559,25.0632,2.2514,-8.14522
365,0,25.839,-2.36042,8.20058,-40.3741,-2.94231,-4.84182,14.5265,0.579117,2.93169,25.839,2.36042,-8.20058
366,0,26.5945,-2.46782,8.24639,-41.1005,-2.98519,-4.89455,14.4926,0.583154,2.93922,26.5945,2.46782,-8.24639
367,0,27.3295,-2.57359,8.28249,-41.8026,-3.02122,-4.93875,14.4546,0.587546,2.94853,27.3295,2.57359,-8.28249
368,0,28.044,-2.67781,8.30953,-42.4802,-3.05101,-4.97488,14.4123,0.591755,2.95986,28.044,2.67781,-8.30953
369,0,28.739,-2.78041,8.32887,-43.1342,-3.07591,-5.00386,14.3658,0.595209,2.97332,28.739,2.78041,-8.32887
370,0,29.4158,-2.88088,8.34232,-43.7656,-3.09793,-5.0267,14.315,0.597412,2.98889,29.4158,2.88088,-8.34232
371,0,30.0764,-2.97827,8.35194,-44.3764,-3.11954,-5.04432,14.26,0.597992,3.00639,30.0764,2.97827,-8.35194
372,0,30.7232,-3.07129,8.35969,-44.9686,-3.14339,-5.05739,14.201,0.596685,3.02554,30.7232,3.07129,-8.35969
373,0,31.3583,-3.15846,8.3669,-45.5446,-3.17182,-5.06596,14.1382,0.593277,3.04599,31.3583,3.15846,-8.3669
374,0,31.9836,-3.23842,8.37415,-46.1063,-3.20647,-5.06954,14.0719,0.58761,3.06748,31.9836,3.23842,-8.37415
375,0,32.6005,-3.31009,8.3816,-46.6553,-3.24836,-5.06741,14.0026,0.579613,3.08985,32.6005,3.31009,-8.3816
376,0,33.2098,-3.37307,8.38977,-47.1926,-3.2981,-5.0595,13.9304,0.56934,3.11298,33.2098,3.37307,-8.38977
377,0,33.8124,-3.42786,8.39978,-47.7191,-3.35601,-5.04678,13.8552,0.557033,3.13683,33.8124,3.42786,-8.39978
378,0,34.4092,-3.47563,8.41305,-48.2357,-3.42189,-5.03094,13.7771,0.543178,3.16129,34.4092,3.47563,-8.41305
379,0,35.0011,-3.51773,8.43092,-48.7433,-3.49516,-5.01383,13.6956,0.528467,3.18613,35.0011,3.51773,-8.43092
380,0,35.588,-3.55522,8.45437,-49.2418,-3.57506,-4.99708,13.6108,0.513659,3.21103,35.588,3.55522,-8.45437
381,0,36.1685,-3.58866,8.48398,-49.7302,-3.6608,-4.9818,13.5226,0.499412,3.23559,36.1685,3.58866,-8.48398
382,0,36.7403,-3.61815,8.51972,-50.2064,-3.75148,-4.96843,13.4315,0.48616,3.25943,36.7403,3.61815,-8.51972
383,0,37.3005,-3.64357,8.56059,-50.6679,-3.84593,-4.95648,13.3376,0.474003,3.28242,37.3005,3.64357,-8.56059
384,0,37.8462,-3.66484,8.60492,-51.1122,-3.94276,-4.9447,13.2412,0.462698,3.30478,37.8462,3.66484,-8.60492
385,0,38.3754,-3.68202,8.65113,-51.5372,-4.04071,-4.93189,13.1426,0.451906,3.32687,38.3754,3.68202,-8.65113
386,0,38.8864,-3.69495,8.69823,-51.9417,-4.13905,-4.91712,13.0417,0.441401,3.34895,38.8864,3.69495,-8.69823
387,0,39.3781,-3.7029,8.74542,-52.324,-4.23771,-4.89901,12.9381,0.430801,3.37148,39.3781,3.7029,-8.74542
388,0,39.8495,-3.70478,8.79172,-52.6821,-4.33686,-4.87549,12.8312,0.419425,3.39526,39.8495,3.70478,-8.79172
389,0,40.3002,-3.69981,8.83593,-53.0148,-4.43623,-4.84486,12.7201,0.406822,3.42081,40.3002,3.69981,-8.83593
390,0,40.7306,-3.68781,8.87679,-53.3224,-4.53477,-4.8064,12.6046,0.39305,3.44801,40.7306,3.68781,-8.87679
391,0,41.1423,-3.6691,8.91302,-53.6064,-4.63123,-4.75982,12.4844,0.378257,3.47658,41.1423,3.6691,-8.91302
392,0,41.5375,-3.64404,8.94361,-53.8693,-4.72466,-4.70505,12.36,0.362637,3.50611,41.5375,3.64404,-8.94361
393,0,41.9188,-3.61272,8.96853,-54.1149,-4.81493,-4.64269,12.2323,0.346662,3.53583,41.9188,3.61272,-8.96853
394,0,42.2886,-3.57542,8.98909,-54.347,-4.90293,-4.57429,12.1027,0.330852,3.56486,42.2886,3.57542,-8.98909
395,0,42.6493,-3.53309,9.00723,-54.5693,-4.98961,-4.50227,11.9727,0.315738,3.59244,42.6493,3.53309,-9.00723
396,0,43.0026,-3.48716,9.02451,-54.7855,-5.07512,-4.42915,11.8436,0.302041,3.61781,43.0026,3.48716,-9.02451
397,0,43.3499,-3.43852,9.04167,-54.9979,-5.15931,-4.35615,11.7168,0.2903,3.64067,43.3499,3.43852,-9.04167
398,0,43.6918,-3.3867,9.05874,-55.2077,-5.24268,-4.28222,11.5925,0.280389,3.66165,43.6918,3.3867,-9.05874
399,0,44.0284,-3.33003,9.07533,-55.4145,-5.32663,-4.20444,11.4706,0.271442,3.6821,44.0284,3.33003,-9.07533
